ID,Name,Genres,Platforms,Runs,ReleaseDate
0,Super Mario 64,3D Platformer,"Nintendo 64, Wii Virtual Console, Wii U Virtual Console, Switch",9174,1996-06-23
1,Minecraft: Java Edition,Sandbox,PC,6869,2011-11-18
2,Super Mario Odyssey,3D Platformer,Switch,4284,2017-10-27
3,Celeste,2D Platformer,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, Xbox One S, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",3815,2018-01-25
4,Mario Kart 8 Deluxe,Racing,Switch,7660,2017-04-28
5,Seterra,Misc,"PC, Android, iOS, Web",7763,1997-01-01
6,Portal,Puzzle,"PlayStation 3, Xbox 360, Xbox One, PC",3676,2007-10-09
7,Super Metroid,Action,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, New Nintendo 3DS Virtual Console, Switch, SNES Classic Mini, MiSTer, Analogue Super Nt",2826,1994-03-19
8,Getting Over It With Bennett Foddy,2D Platformer,"PC, Android, iOS",2561,2017-10-06
9,"Super Mario Sunshine""Platformer",3D Platformer,"GameCube, Wii, Switch",2575,2002-07-19
10,ROBLOX: Speed Run 4,Parkour,"PC, Android, iOS, Macintosh",5086,2013-01-01
11,Super Mario World,2D Platformer,"Super Nintendo, Wii Virtual Console, Nintendo 3DS Virtual Console, Wii U Virtual Console, Switch, SNES Classic Mini, Analogue Super Nt",3150,1990-11-21
12,Super Mario Bros.,2D Platformer,"Nintendo Entertainment System, Super Nintendo, Wii Virtual Console, Game Boy Advance, Wii, Nintendo 3DS Virtual Console, Famicom Disk System, Wii U Virtual Console, NES Classic Mini, Switch, SNES Classic Mini",2277,1985-09-13
13,The Legend of Zelda: Ocarina of Time,Action-Adventure,"Nintendo 64, GameCube, Wii Virtual Console, Wii U Virtual Console, iQue Player, Switch",3065,1998-11-21
14,The Legend of Zelda: A Link to the Past,Action-Adventure,"Super Nintendo, Wii Virtual Console, Nintendo 3DS Virtual Console, Wii U Virtual Console, Switch, SNES Classic Mini, MiSTer, Analogue Super Nt",2891,1991-11-21
15,Minecraft: Bedrock Edition,Sandbox,"PlayStation 4, Xbox One, PC, Android, iOS, Windows Phone, Macintosh, Linux, Oculus VR, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, Amazon Fire TV",2147,2011-08-16
16,SpongeBob SquarePants: Battle for Bikini Bottom,3D Platformer,"GameCube, PlayStation 2, Xbox 360, Xbox, Wii, backwards-compatible PlayStation 3",1084,2003-10-31
17,Resident Evil 2 (2019),Horror,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",2880,2019-01-25
18,Pou,Misc,"Android, iOS",3930,2013-02-14
19,ROBLOX: Piggy,Puzzle,"Xbox, PC, Android, iOS, Macintosh, HTC Vive, Oculus VR",4081,2020-01-23
20,Outlast,Horror,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, Nintendo Switch Lite, SwitchOLED",2043,2013-09-04
21,Hades,Roguelike,"PlayStation 4, Xbox One, PC, Macintosh, Switch, PlayStation 5, Xbox Series X, Xbox Series S",3330,2018-12-06
22,Minecraft (Classic),Sandbox,"PC, Web",3164,2009-05-17
23,Refunct,3D Platformer,"PlayStation 4, Xbox One, PC, Switch",1737,2015-10-16
24,Undertale,RPG,"PlayStation Vita, PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch, PlayStation 5, Xbox Series X",1808,2015-09-15
25,Hollow Knight,Action,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1705,2017-02-24
26,White Tiles 4: Piano Master 2,Rhythm,"Android, iOS",3755,2014-10-03
27,The Legend of Zelda: Breath of the Wild,Action-Adventure,"Wii U, Switch",1668,2017-03-03
28,Wii Sports Resort,Sports,"Wii U, Wii",2013,2009-06-25
29,There Is No Game,Misc,"PC, Android, iOS, Web",2383,2015-06-25
30,Crossy Road,2D Platformer,"Arcade, PC, Android, iOS, Web",2615,2014-11-20
31,Portal 2,Puzzle,"PlayStation 3, Xbox 360, PC",1333,2011-04-19
32,Bhop pro,Parkour,"Android, iOS",2241,2017-03-21
33,Grand Theft Auto V,Sandbox,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",1462,2013-09-17
34,Super Mario Bros. 3,2D Platformer,"Nintendo Entertainment System, Super Nintendo, Wii Virtual Console, Wii, Nintendo 3DS Virtual Console, Wii U Virtual Console, NES Classic Mini, Switch, SNES Classic Mini",1302,1988-10-23
35,Cuphead,2D Platformer,"PlayStation 4, Xbox One, PC, Macintosh, Switch, Xbox Series X, Xbox Series S",1714,2017-09-29
36,Luigi's Mansion,Action-Adventure,"GameCube, Wii",1129,2001-09-14
37,Mario Kart Wii,Racing,"Wii U, Wii, Wii Mini",2401,2008-04-10
38,Super Mario Galaxy,3D Platformer,"Wii, Wii U Virtual Console, Switch",1304,2007-11-01
39,New Super Mario Bros. Wii,2D Platformer,"Wii U, Wii, Wii U Virtual Console",1312,2009-11-12
40,Call of Duty: Black Ops Cold War Zombies,First-person shooter,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",2387,2020-11-12
41,The Simpsons: Hit & Run,Sandbox,"GameCube, PlayStation 2, Xbox, PC",842,2003-09-16
42,Sonic Adventure 2: Battle,3D Platformer,"GameCube, Dreamcast, PlayStation 3, Xbox 360, PC",1216,2001-06-23
43,Spelunky 2,Roguelike,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1338,2020-09-15
44,Karlson (Itch.io),Parkour,"PC, Macintosh, Linux",1131,2020-01-17
45,Metroid Dread,Action-Adventure,Switch,1605,2021-10-08
46,Muck,Roguelike,"PC, Macintosh, Linux",1494,2021-06-05
47,Spyro the Dragon,3D Platformer,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, Playstation TV",655,1998-09-10
48,Call of Duty: Black Ops III Zombies,First-person shooter,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC",2469,2015-11-06
49,Resident Evil 7: Biohazard,Horror,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1058,2017-01-24
50,Titanfall 2,First-person shooter,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, PlayStation 5, Xbox Series X, Xbox Series S",1245,2016-10-28
51,Sonic Adventure (DX),3D Platformer,"GameCube, Dreamcast, PlayStation 3, Xbox 360, Xbox One, PC, Xbox Series X, Xbox Series S",1237,1998-12-23
52,Banjo-Kazooie,3D Platformer,"Nintendo 64, Xbox 360, Xbox One, Switch Virtual Console, Xbox Series X",765,1998-06-29
53,Dead by Daylight,Horror,"PlayStation 4, Xbox One, PC, Android, iOS, Switch, Google Stadia, PlayStation 5, Xbox Series X",1708,2016-06-14
54,Rocket League,Sports,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",841,2015-07-07
55,A Hat in Time,3D Platformer,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X",849,2017-10-05
56,Paper Mario,RPG,"Nintendo 64, Wii Virtual Console, Wii U Virtual Console, Switch",960,2000-08-11
57,ROBLOX: Jailbreak,Misc,"Xbox One, PC, Android, iOS, Macintosh",1518,2017-01-09
58,Crash Bandicoot: N. Sane Trilogy,3D Platformer,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, PlayStation 4 Pro, Xbox Series X, Xbox Series S, PS5 for backward compatible games",898,2017-06-30
59,Red Ball,2D Platformer,Web,891,2009-06-23
60,Grand Theft Auto: Vice City,Sandbox,"PlayStation 2, Xbox, PlayStation 4, PC, Macintosh",705,2002-10-27
61,Resident Evil 4 (Console),Horror,"GameCube, Wii U, PlayStation 2, PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Wii, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",773,2005-01-11
62,Counter-Strike: Global Offensive,First-person shooter,"PlayStation 3, Xbox 360, PC",1494,2012-08-21
63,Mario Kart: Double Dash!!,Racing,GameCube,1204,2003-11-07
64,The Messenger,2D Platformer,"PlayStation 4, Xbox One, PC, Switch",775,2018-08-30
65,Resident Evil 2,Horror,"Nintendo 64, GameCube, Dreamcast, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, PC, Wii, Playstation TV",1229,1998-01-21
66,Cookie Clicker,Misc,"PC, Web",1174,2013-08-10
67,Katana ZERO,Action,"Xbox One, PC, Switch, Xbox Series X, Xbox Series S",1076,2019-04-18
68,The Legend of Zelda,Action-Adventure,"Nintendo Entertainment System, GameCube, Wii Virtual Console, Game Boy Advance, Nintendo 3DS Virtual Console, Famicom Disk System, Wii U Virtual Console, New Nintendo 3DS Virtual Console, NES Classic Mini, Game & Watch, Switch, Famicom",631,1986-02-21
69,Super Meat Boy,2D Platformer,"Wii U, Xbox 360, PlayStation Vita, PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch, Nvidia Shield, PlayStation 5, Xbox Series X, Xbox Series S",980,2010-10-20
70,Overwatch,First-person shooter,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1679,2016-05-24
71,Spelunky,Roguelike,"PlayStation 3, Xbox 360, PlayStation Vita, PlayStation 4, PC, Switch",1356,2013-08-08
72,Among Us,Misc,"PlayStation 4, Xbox One, PC, Android, iOS, Switch, PlayStation 5, Xbox Series X, Xbox Series S",1595,2018-06-15
73,League of Legends,Strategy,"PC, Macintosh",1662,2009-01-01
74,Half-Life,First-person shooter,"PlayStation 2, PC, Macintosh, Linux",501,1998-11-08
75,Tom Clancy's Rainbow Six Siege,First-person shooter,"PlayStation 4, Xbox One, PC",1627,2015-12-01
76,Tower of Hell,Misc,"Xbox One, PC, Android, iOS, Macintosh",1064,2018-06-18
77,Resident Evil 3 (2020),Horror,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",1117,2020-03-18
78,The Legend of Zelda: Majora's Mask,Action-Adventure,"Nintendo 64, GameCube, Wii Virtual Console, Wii U Virtual Console, Switch",688,2000-04-27
79,Jump King,2D Platformer,"PlayStation 4, Xbox One, PC, Switch",980,2019-05-03
80,ROBLOX: BedWars,Misc,"PC, Android, iOS, Macintosh",668,2021-05-28
81,Super Mario Galaxy 2,3D Platformer,"Wii, Wii U Virtual Console",764,2010-05-23
82,Pokémon Red/Blue,RPG,"Nintendo 64, Game Boy Color, Game Boy Advance, Nintendo 3DS Virtual Console, Super Game Boy, Game Boy Player, Super Game Boy 2, Game Boy, New Nintendo 3DS Virtual Console, Game Boy Interface",954,1996-02-27
83,Super Monkey Ball 2,Puzzle,"GameCube, Wii",901,2002-08-25
84,Mario Kart 8,Racing,Wii U,1528,2014-05-29
85,Spyro 2: Ripto's Rage!,3D Platformer,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, Playstation TV",581,1999-11-02
86,Diablo II: Lord of Destruction,Action,PC,914,2001-06-27
87,CELESTE Classic,2D Platformer,"PlayStation 4, Xbox One, PC, Web, Switch, PICO-8",745,2015-07-21
88,CraftRise,Sandbox,PC,301,2015-09-17
89,Jak and Daxter: The Precursor Legacy,3D Platformer,"PlayStation 2, PlayStation 3, PlayStation Vita, PlayStation 4, PlayStation 5, backwards-compatible PlayStation 3",468,2001-12-03
90,Resident Evil 3: Nemesis,Horror,"GameCube, Dreamcast, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, PC, Wii, Playstation TV",766,1999-09-22
91,Piano Tiles,Rhythm,"Android, iOS, Windows Phone",1463,2014-03-28
92,Streets of Rage 4,Brawler,"PlayStation 4, Xbox One, PC, Switch",1030,2020-04-30
93,Kingdom Hearts Final Mix,RPG,"PlayStation 2, PlayStation 3, PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",734,2002-12-26
94,Five Nights at Freddy's: Security Breach,Horror,"PlayStation 4, PC, PlayStation 5",1035,2021-12-16
95,Dark Souls III,Action,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",639,2016-03-24
96,Ori and the Blind Forest Definitive Edition,Action-Adventure,"Xbox One, PC, Switch",450,2016-03-11
97,Mario Kart 7,Racing,"Nintendo 3DS, New Nintendo 3DS",1259,2011-12-01
98,Factorio,Sandbox,PC,706,2020-08-14
99,Resident Evil (Remake),Horror,"GameCube, Wii",39,2002-03-22
100,Wii Sports,Sports,"Wii U, Wii",859,2006-11-19
101,Google Snake Game,Misc,Web,1124,2017-09-27
102,Sekiro: Shadows Die Twice,Action,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",645,2019-03-22
103,Mirror's Edge,Parkour,"PlayStation 3, Xbox 360, Xbox One, PC, Xbox Series X, Xbox Series S",545,2008-11-11
104,LEGO Star Wars: The Complete Saga (PC/Console),Action-Adventure,"Wii U, PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Wii, Android, iOS, Macintosh, Linux, Xbox One X, PlayStation 4 Pro, Xbox One S, Xbox Series X",529,2007-11-06
105,Zelda II: The Adventure of Link,Action-Adventure,"Nintendo Entertainment System, GameCube, Wii Virtual Console, Game Boy Advance, Nintendo 3DS, Nintendo 3DS Virtual Console, Famicom Disk System, Wii U Virtual Console, NES Classic Mini, Switch, SNES Classic Mini, MiSTer, Analogue Nt, Analogue Nt Mini, Nt Mini Noir, retroUSB AVS",411,1987-01-14
106,Duck Life 1,Racing,Web,876,2008-01-01
107,Shovel Knight,2D Platformer,"Wii U, Nintendo 3DS, PlayStation 3, PlayStation Vita, PlayStation 4, Xbox One, PC, Linux, Switch",629,2014-06-26
108,Human: Fall Flat,Puzzle,"PlayStation 4, Xbox One, PC, Android, iOS, Macintosh, Linux, Switch, Google Stadia",715,2016-07-22
109,Mario Kart DS,Racing,"Nintendo DS, Nintendo 3DS, Wii U Virtual Console",895,2005-11-14
110,Mario Kart 64,Racing,"Nintendo 64, Wii Virtual Console, Wii U Virtual Console, Switch",756,1996-12-14
111,Google Doodle Champion Island Games Begin!,Sports,"PC, Web, Macintosh, Linux",716,2021-07-23
112,Super Mario 3D World + Bowser's Fury,3D Platformer,Switch,694,2021-02-12
113,Crash Team Racing,Racing,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, Playstation TV, PSN Download",611,1999-09-30
114,Donkey Kong Country,2D Platformer,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, New Nintendo 3DS Virtual Console, SNES Classic Mini, Switch Virtual Console",725,1994-11-21
115,Resident Evil Village,Horror,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",655,2021-05-07
116,ROBLOX: Piggy Book 2,Horror,"Xbox, PC, Android, iOS, Macintosh, HTC Vive, Oculus VR",1285,2020-09-12
117,Kingdom Hearts II Final Mix,RPG,"PlayStation 2, PlayStation 3, PlayStation 4, Xbox One, PC, PlayStation 4 Pro, PlayStation 5, Xbox Series X, Xbox Series S",715,2007-03-29
118,Donkey Kong 64,3D Platformer,"Nintendo 64, Wii U Virtual Console",381,1999-11-22
119,Hotline Miami,Action,"PlayStation 3, PlayStation Vita, PlayStation 4, Xbox One, PC, Android, Switch",603,2012-10-23
120,Poppy Playtime,Horror,"PC, Android, iOS",837,2021-10-13
121,Rec Room,Misc,"PlayStation, Xbox, PC, Android, iOS, HTC Vive, Oculus VR, Valve Index, Windows Mixed Reality, Oculus Quest",857,2016-06-01
122,Enter the Gungeon,Roguelike,"PlayStation 4, Xbox One, PC, Switch",1001,2016-04-05
123,Bloodborne,Action,"PlayStation 4, PlayStation 5",425,2015-03-24
124,Super Mario 3D All-Stars,3D Platformer,Switch,81,2020-09-17
125,Brawl Stars,Brawler,"Android, iOS",1081,2017-06-15
126,Resident Evil,Horror,"Sega Saturn, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, PC, Playstation TV, PSN Download",776,1996-03-22
127,Metroid: Zero Mission,Action,"Game Boy Advance, Wii U Virtual Console",544,2004-02-09
128,Octopath Traveler,RPG,"Xbox One, PC, Switch, Xbox One X, Xbox One S, Google Stadia, Xbox Series X, Xbox Series S",723,2018-07-13
129,ROBLOX: Escape The Dentist Obby,Misc,"Xbox One, PC, Android, iOS, Macintosh, Linux, Xbox One X",847,2017-08-14
130,Superliminal,Puzzle,"PlayStation 4, Xbox One, PC, Switch",578,2019-11-12
131,VVVVVV,2D Platformer,"Nintendo 3DS, PlayStation Vita, PlayStation 4, PC, Android, iOS, Switch",659,2010-01-11
132,Robot 64,3D Platformer,"Xbox One, PC, Android, iOS, Macintosh, Nvidia Shield",566,2018-04-18
133,New Super Mario Bros.,2D Platformer,"Nintendo DS, Nintendo 3DS, Wii U Virtual Console, New Nintendo 3DS",464,2006-05-15
134,Slither.io,Misc,"PC, Android, iOS, Web, Macintosh, Linux",775,2016-03-25
135,Hello Neighbor,Horror,"PlayStation 4, Xbox One, PC, Android, iOS, Macintosh, Linux, Switch, Google Stadia",584,2016-09-29
136,Spyro Reignited Trilogy (PC),3D Platformer,PC,416,2019-09-03
137,Dark Souls,Action,"PlayStation 3, Xbox 360, Xbox One, PC",523,2011-09-22
138,Slime Rancher,Sandbox,"PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch, Xbox One X, PlayStation 4 Pro, PlayStation 5, Xbox Series X, Xbox Series S",717,2017-08-01
139,The Legend of Zelda: Twilight Princess,Action-Adventure,"GameCube, Wii, Nvidia Shield",543,2006-11-19
140,Google Solitaire,Misc,"Android, Web",679,2016-08-25
141,Chip 'N Dale: Rescue Rangers,2D Platformer,Nintendo Entertainment System,498,1990-01-01
142,Grand Theft Auto: San Andreas,Sandbox,"PlayStation 2, PlayStation 3, Xbox 360, Xbox, PlayStation 4, PC, PlayStation 5",423,2004-10-26
143,Granny,Horror,"Android, iOS",775,2017-11-24
144,Geometry Dash,2D Platformer,"PC, Android, iOS, Macintosh, Linux",813,2013-08-13
145,Minesweeper,Misc,"PC, MS-DOS, Android, iOS, Web, Linux",744,1990-01-01
146,EarthBound,RPG,"Super Nintendo, Nintendo 3DS Virtual Console, Wii U Virtual Console, SNES Classic Mini, Switch Virtual Console",457,1994-08-27
147,Resident Evil 4 (Steam),Horror,PC,605,2014-02-27
148,Terraria,Sandbox,"PC, Playstation 3, Xbox 360, PlayStation Vita, iOS, Android, Windows Phone, Playstation 4, XboxOne, Nintendo 3DS, Wii U, Nintendo Switch",819,2011-05-11
149,Spyro: Year of the Dragon,3D Platformer,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, Playstation TV",332,2000-10-25
