ID,Name,Genres,Platforms,Runs,ReleaseDate
309,LEGO Batman: The Videogame,Action-Adventure,"Wii U, PlayStation 2, PlayStation 3, PlayStation Portable, Xbox 360, PlayStation 4, Xbox One, PC, Wii, Xbox Series X",212,2016-11-11
310,Pokémon Sword/Shield,RPG,Switch,342,2008-09-23
311,Jak 3,3D Platformer,"PlayStation 2, PlayStation 3, PlayStation Vita, PlayStation 4, PlayStation 5, backwards-compatible PlayStation 3",214,2019-11-15
312,Super Smash Bros. for Wii U,Brawler,Wii U,457,2004-11-09
313,The Legend of Zelda: Link's Awakening (2019),Action-Adventure,Switch,215,2014-11-21
314,Brawlhalla,Brawler,"PlayStation 4, Xbox One, PC, Android, iOS, Macintosh, Switch",371,2019-09-20
315,Super Smash Bros. for 3DS,Brawler,"Nintendo 3DS, New Nintendo 3DS",403,2015-01-01
316,Sonic the Hedgehog (2006),3D Platformer,"PlayStation 3, Xbox 360",245,2014-09-14
317,Super Paper Mario,RPG,"Wii U, Wii",174,2006-11-14
318,Final Fantasy,RPG,"Wii Virtual Console, Game Boy Advance, Nintendo 3DS, PlayStation, PlayStation Portable, PC, Windows Phone, WonderSwan, MSX2, Wii U Virtual Console",272,2007-04-09
319,Hearts of Iron IV,Strategy,PC,410,1987-12-18
320,Kirby Air Ride,Racing,"GameCube, Wii",263,2016-06-06
321,Ori and the Will of the Wisps,Action-Adventure,"Xbox One, PC, Switch",232,2003-07-11
322,Pokémon Let's Go Pikachu/Eevee,RPG,Switch,243,2020-03-11
323,Call of Duty 4: Modern Warfare,First-person shooter,"PlayStation 3, Xbox 360, Xbox One, PC, Wii",360,2018-11-16
324,Call of Duty: Black Ops III,First-person shooter,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC",303,2007-11-05
325,Paper Mario: The Thousand-Year Door,RPG,GameCube,179,2015-11-06
326,HuniePop,Puzzle,PC,303,2004-07-22
327,Sonic Heroes,3D Platformer,"GameCube, PlayStation 2, PlayStation 3, Xbox",193,2015-01-19
328,Diablo III: Reaper of Souls,Action,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Switch",408,2003-12-30
329,Crash Bandicoot 4: It's About Time,3D Platformer,"PlayStation 4, Xbox One, PC, Switch, Xbox One X, PlayStation 4 Pro, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S, PS5 for backward compatible games",202,2014-03-25
330,Batman: Arkham Asylum,Action-Adventure,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Xbox One X, Playstation Now, Xbox One S, PlayStation 5, Xbox Series X, Xbox Series S",237,2020-10-02
331,Grey-Box Testing,Puzzle,"PC, Web",275,2009-08-25
332,Batman: Arkham Knight,Action-Adventure,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",288,2020-01-20
333,Mario Super Sluggers,Sports,"Wii, Wii U Virtual Console",307,2015-06-23
334,ROBLOX: Cool Obby 2,Misc,"Xbox One, PC, Android, iOS, Macintosh",302,2008-06-19
335,Super Mario Maker,2D Platformer,Wii U,423,2008-10-18
336,Silent Hill 2,Horror,"PlayStation 2, PlayStation 3, Xbox 360, Xbox, Xbox One, PC, Playstation Now",233,2015-09-10
337,Final Fantasy IX,RPG,"PlayStation 2, PlayStation, PlayStation 3, PlayStation 4, Xbox One, PC, Playstation TV, Switch, PlayStation 5",288,2001-09-24
338,Crash Bash,Misc,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PlayStation Vita, Playstation TV",308,2000-01-01
339,Bloodstained: Curse of the Moon,Action,"Nintendo 3DS, PlayStation Vita, PlayStation 4, Xbox One, PC, Switch",257,2000-11-06
340,God of War III,Action,"PlayStation 3, PlayStation 4, PlayStation 5",199,2018-05-24
341,Ultimate Doom,First-person shooter,PC,299,2010-03-16
342,Horizon Zero Dawn,Action,"PlayStation 4, PC, PlayStation 5",156,1993-12-10
343,Mario Golf: Toadstool Tour,Sports,"GameCube, Wii",201,2017-02-28
344,Teenage Mutant Ninja Turtles IV: Turtles in Time,Brawler,Super Nintendo,210,2003-07-29
345,Spore,Strategy,PC,324,1991-01-01
346,Call of Duty: Modern Warfare Remastered,First-person shooter,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",394,2008-09-04
347,Bastion,Action-Adventure,"Xbox 360, PlayStation Vita, PlayStation 4, Xbox One, PC, iOS, Switch",253,2016-11-04
348,Castlevania: Aria of Sorrow,Action,"Game Boy Advance, PlayStation 4, Xbox One, PC, Wii U Virtual Console, Game Boy Player, Game Boy Interface, Switch, PlayStation 5, Xbox Series X, Xbox Series S",209,2011-07-20
349,Psychonauts,3D Platformer,"PlayStation 2, PlayStation 3, Xbox 360, Xbox, PlayStation 4, Xbox One, PC, Xbox Series X, Xbox Series S",182,2003-05-06
350,Kirby Super Star,2D Platformer,"Super Nintendo, Wii Virtual Console, Wii U, Wii, Wii U Virtual Console, SNES Classic Mini, Switch Virtual Console",185,2005-04-19
351,Limbo,Puzzle,"PlayStation 3, Xbox 360, PlayStation Vita, PlayStation 4, Xbox One, PC, Android, iOS, Macintosh, Switch, PlayStation 5, Xbox Series X",238,1996-03-21
352,Nuclear Throne,Roguelike,PC,320,2010-01-01
353,Geometry Dash Meltdown,2D Platformer,"Android, iOS",417,2015-12-05
354,ROBLOX: Survive and Kill the Killers in Area 51,Horror,"Xbox One, PC, Android, iOS, Macintosh",234,2015-12-19
355,Warframe,Action,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X",443,2014-04-30
356,N++,2D Platformer,"PlayStation 4, Xbox One, PC, Switch",346,2013-03-25
357,BattleBlock Theater,2D Platformer,"Xbox 360, Xbox One, PC",256,2015-07-28
358,Silent Hill 3,Horror,"PlayStation 2, PlayStation 3, Xbox 360, PC",251,2013-01-01
359,Strider (NES),2D Platformer,"Nintendo Entertainment System, Game Boy Advance",270,2003-01-01
360,The Last of Us Part II,Action,"PlayStation 4, PlayStation 5",271,1989-01-01
361,Risk of Rain,Roguelike,"PlayStation Vita, PlayStation 4, PC, Switch",276,2020-06-19
362,Piano Tiles 2,Rhythm,"Android, iOS, Windows Phone",379,2013-01-01
363,Super Mario Kart,Racing,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, New Nintendo 3DS Virtual Console, Switch, SNES Classic Mini",299,2015-08-19
364,Pencil Sharpening Simulator,Misc,"PC, Web",366,1992-08-27
365,Ori and the Blind Forest,Action-Adventure,"Xbox One, PC",139,2015-01-01
366,ULTRAKILL,First-person shooter,PC,279,2015-03-11
367,Harry Potter and the Prisoner of Azkaban (PC),Action-Adventure,PC,152,2019-08-30
368,Kingdom Hearts Birth by Sleep 0.2: A Fragmentary Passage,RPG,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, PlayStation 5, Xbox Series X",262,2004-01-01
369,Wubbzy's Amazing Adventure,2D Platformer,Web,197,2017-01-12
370,Super Smash TV,Action,"Super Nintendo, SNES Classic Mini, MiSTer, Analogue Super Nt",172,2006-08-01
371,Hyper Light Drifter,Action-Adventure,"PlayStation 4, Xbox One, PC, iOS, Switch",227,1992-02-01
372,ROBLOX: HOURS,Action,"Xbox, PC, Android, iOS, Macintosh",224,2016-03-31
373,How To Rob A Gas Station,Misc,"PC, Web, Macintosh, Linux",474,2020-09-25
374,DOOM,First-person shooter,"PlayStation 4, Xbox One, PC, Switch",176,2022-01-20
375,Five Nights at Freddy's,Horror,"PlayStation 4, Xbox One, PC, Android, iOS, Windows Phone, Switch",246,2016-05-13
376,Call of Duty: Infinite Warfare Zombies,First-person shooter,"PlayStation 4, Xbox One, PC",436,2014-08-08
377,The Little Mermaid,Action-Adventure,Nintendo Entertainment System,250,2016-11-03
378,Ghostrunner,Parkour,"PlayStation 4, Xbox One, PC, Switch",210,1991-07-19
379,Kingdom Hearts III,RPG,"PlayStation 4, Xbox One, PC, Xbox One X, PlayStation 4 Pro, PlayStation 5, Xbox Series X, Xbox Series S",232,2020-10-10
380,Monster Hunter: World (Console),Action,"PlayStation 4, Xbox One, Xbox One X, PlayStation 4 Pro, PlayStation 5, Xbox Series X",411,2019-01-25
381,Amnesia: The Dark Descent,Horror,"PlayStation 4, Xbox One, PC, Macintosh, Linux, Switch",196,2018-01-26
382,Wii Sports Club,Sports,Wii U,324,2010-01-01
383,Mario Party,Misc,Nintendo 64,336,2013-10-30
384,Star Wars Jedi Knight: Jedi Academy,Action-Adventure,PC,118,1998-12-18
385,CELESTE Classic 2,2D Platformer,"PC, Web, PICO-8",273,2003-09-17
386,DOOM Eternal,First-person shooter,"PlayStation 4, Xbox One, PC, Switch, Google Stadia, PlayStation 5, Xbox Series X",196,2021-01-25
387,Teenage Mutant Ninja Turtles,Brawler,"Nintendo Entertainment System, Wii Virtual Console",176,2020-03-20
388,Job Simulator,Misc,"PlayStation 4, HTC Vive, Oculus VR, Valve Index, Windows Mixed Reality",306,1989-05-12
389,Sonic the Hedgehog 2,2D Platformer,"GameCube, Wii Virtual Console, Sega Genesis, Sega Saturn, Nintendo 3DS, PlayStation 2, PlayStation 3, PlayStation Portable, Xbox 360, Xbox, PlayStation 4, Xbox One, PC, Switch",187,2016-04-05
390,Tony Hawk's Underground 2,Sports,"GameCube, PlayStation 2, Xbox 360, Xbox, PC",225,1992-11-21
391,Pikmin,Strategy,"GameCube, Wii",150,2004-10-04
392,Rabi-Ribi,2D Platformer,"PlayStation Vita, PlayStation 4, PC, Switch",179,2001-10-26
393,Ape Escape,3D Platformer,"PlayStation 2, PlayStation, PlayStation 3, PlayStation Vita, Playstation TV, PSN Download",157,2016-01-29
394,Cleaning Simulator,Misc,"Xbox One, PC, Android, iOS, Macintosh",308,1999-05-31
395,God of War,Action,"PlayStation 2, PlayStation 3, PlayStation Vita",155,2017-07-07
396,Fallout 3,RPG,"PlayStation 3, Xbox 360, Xbox One, PC",194,2005-03-22
397,LEGO Star Wars: The Video Game,Action-Adventure,"GameCube, PlayStation 2, Xbox, PC",181,2008-10-28
398,Google Whirlybird,Misc,Android,358,2005-04-02
399,The Legend of Zelda: Ocarina of Time 3D,Action-Adventure,Nintendo 3DS,234,2019-09-05
400,Marble Madness (NES),Puzzle,Nintendo Entertainment System,192,2011-06-16
401,Ratchet & Clank (PS4),Action,"PlayStation 4, PlayStation 4 Pro, PS5 for backward compatible games",130,1989-01-01
402,Jump Rope Challenge,Misc,Switch,384,2016-04-12
403,The Sims 4,Strategy,"PlayStation 4, Xbox One, PC, Macintosh",388,2020-06-15
404,The End Is Nigh,2D Platformer,"PlayStation 4, PC, Switch",186,2014-09-02
405,Lufia II: Rise of the Sinistrals,RPG,Super Nintendo,60,2017-07-12
406,Flow Free,Puzzle,"PC, Android, iOS",14,1995-01-01
407,Kirby's Adventure,2D Platformer,"Nintendo Entertainment System, Wii Virtual Console, Wii U, Nintendo 3DS, Wii, Wii U Virtual Console, NES Classic Mini, Switch",200,2012-06-07
408,Furi,Action,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5",183,1993-03-23
409,Pokémon Yellow,RPG,"Game Boy Color, Game Boy Advance, Nintendo 3DS Virtual Console, Game Boy Player, Super Game Boy 2, New Nintendo 3DS Virtual Console, Game Boy Interface",240,2016-07-05
410,Pac-Man World 2,3D Platformer,"GameCube, PlayStation 2, Xbox, PC",123,1998-09-12
411,Genshin Impact,Action-Adventure,"PlayStation 4, PC, Android, iOS, PlayStation 5",293,2002-02-24
412,Super Ghouls 'n Ghosts,Action,"Super Nintendo, Wii Virtual Console, Sega Saturn, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, Xbox, Wii U Virtual Console, Switch, SNES Classic Mini",199,2020-09-28
413,FNaF World,RPG,"PC, Android",180,1991-10-04
414,Hanabi,Strategy,"Web, Tabletop",339,2016-01-21
415,DEVOUR,Horror,PC,224,2010-01-01
416,Wizard of Legend,Roguelike,"PlayStation 4, Xbox One, PC, Switch",290,2021-01-28
417,Minecraft: Java Edition (Historical Versions),Sandbox,"PC, Macintosh, Linux",293,2018-05-15
418,Mike Tyson's Punch-Out!!,Sports,"Nintendo Entertainment System, Wii Virtual Console, Nintendo 3DS, Wii U Virtual Console, NES Classic Mini, Switch, MiSTer",127,2009-05-13
419,Katamari Damacy Reroll,Misc,"PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X, Xbox Series S",121,1987-01-01
420,Call of Duty: Modern Warfare 2 Remastered,First-person shooter,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",289,2018-11-21
421,Kirby: Planet Robobot,2D Platformer,"Nintendo 3DS, New Nintendo 3DS",211,2020-03-31
422,SCP Containment Breach,Horror,PC,260,2016-04-28
423,Mega Man Legacy Collection 1 + 2,2D Platformer,"Nintendo 3DS, PlayStation 4, Xbox One, PC, Switch",337,2012-04-15
424,SUPERHOT,First-person shooter,"PlayStation 4, Xbox One, PC, Switch, Google Stadia, PlayStation 5, Xbox Series X",221,2015-08-24
425,Final Fantasy VIII,RPG,"PlayStation 2, PlayStation, PlayStation 3, PlayStation 4, Xbox One, PC, Playstation TV, Switch, PlayStation 5, Xbox Series X",257,2016-02-25
426,The Forest,Horror,"PlayStation 4, PC",295,1999-01-01
427,Jet Set Radio,Action,"Dreamcast, PlayStation 3, Xbox 360, PlayStation Vita, Xbox One, PC",144,2014-05-30
428,Chess.com,Strategy,"Android, iOS, Windows Phone, Web",254,2000-06-29
429,Kirby's Return to Dream Land,2D Platformer,"Wii U, Wii",213,2007-05-07
430,Batman: The Video Game (NES),Brawler,Nintendo Entertainment System,121,2011-10-24
431,Kirby & The Amazing Mirror,2D Platformer,"Game Boy Advance, Nintendo DS, Nintendo 3DS Virtual Console, Wii U Virtual Console, Game Boy Player",114,1989-12-22
432,Okami,Action-Adventure,"PlayStation 2, PlayStation 3, PlayStation 4, Xbox One, PC, Wii, Switch, PlayStation 5",103,2004-04-15
433,Yooka-Laylee,3D Platformer,"PlayStation 4, Xbox One, PC, Switch",149,2006-04-20
434,Bully: Scholarship Edition,Sandbox,"Xbox 360, Xbox One, PC, Wii",159,2017-04-11
435,God of War II,Action,"PlayStation 2, PlayStation 3, PlayStation Vita",162,2008-03-04
436,Shantae and the Pirate's Curse,2D Platformer,"Wii U, Nintendo 3DS, PlayStation 4, Xbox One, PC, Wii U Virtual Console, Switch",180,2007-03-13
437,Back 4 Blood,First-person shooter,"PlayStation 4, Xbox One, PC, PlayStation 5, Xbox Series X, Xbox Series S",253,2014-10-23
438,The Last of Us: Left Behind,Action,"PlayStation 3, PlayStation 4, PlayStation 4 Pro, PlayStation 5",167,2021-10-07
439,Johnny Upgrade,2D Platformer,Web,193,2014-02-14
440,ROBLOX: Isle,Misc,"Xbox One, PC, Android, iOS, Macintosh",297,2012-01-01
441,S.T.A.L.K.E.R.: Shadow of Chernobyl,Action,PC,134,2019-04-21
442,Shrek 2,3D Platformer,PC,123,2007-03-20
443,Club Penguin,Misc,Web,187,2004-05-03
444,Devil May Cry 3: Special Edition,Action,"PlayStation 2, PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Switch, PlayStation 5, Xbox Series X",177,2017-03-29
445,The Legend of Zelda: A Link Between Worlds,Action-Adventure,Nintendo 3DS,190,2006-01-24
446,Marble It Up!,Puzzle,"PC, iOS, Macintosh, Switch",76,2013-11-22
447,Ty the Tasmanian Tiger,3D Platformer,"GameCube, PlayStation 2, Xbox, PlayStation 4, Xbox One, PC, Switch",179,2018-09-29
448,Uncharted: Drake's Fortune,Action,"PlayStation 3, PlayStation 4, PlayStation 5",166,2002-09-10
449,ROBLOX: Dungeon Quest,Action-Adventure,"Xbox One, PC, Android, iOS, Macintosh",379,2007-11-19
450,Resident Evil HD Remaster (Steam),Horror,PC,520,2018-09-25
451,Disney's Aladdin (SNES),2D Platformer,"Super Nintendo, PlayStation 4, Xbox One, PC, Switch",197,2015-01-20
452,Goof Troop,Action-Adventure,Super Nintendo,176,1993-01-01
453,Ring Fit Adventure,Misc,Switch,226,1993-07-11
454,F-Zero,Racing,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, Switch, SNES Classic Mini",305,2019-10-18
455,Terranigma,RPG,"Super Nintendo, SNES Classic Mini, Analogue Super Nt",135,1990-11-21
456,Rocket League Sideswipe,Sports,"Android, iOS",304,1995-10-20
457,Contra III: The Alien Wars,Action,"Super Nintendo, Wii Virtual Console, Wii U Virtual Console, Switch, SNES Classic Mini",179,2021-11-15
458,Clubhouse Games: 51 Worldwide Classics,Misc,Switch,260,1992-01-01
459,Kirby 64: The Crystal Shards,2D Platformer,"Nintendo 64, Wii Virtual Console, Wii U, Wii, Wii U Virtual Console",156,2020-06-05
460,Mario Golf: Super Rush,Sports,Switch,270,2000-03-24
461,The Legend of Zelda: Twilight Princess HD,Action-Adventure,Wii U,146,2021-06-25
462,Ape Escape 2,3D Platformer,"PlayStation 2, PlayStation 4, Playstation Now, backwards-compatible PlayStation 3, PS5 for backward compatible games",114,2016-03-04
463,Left 4 Dead 2,First-person shooter,"Xbox 360, Xbox One, PC, Macintosh, Linux, Xbox Series X, Xbox Series S",203,2002-07-18
464,"Ooh, Aah & You: Fetch-A-Fruit",Misc,Web,257,2009-11-17
465,Rayman,2D Platformer,"Sega Saturn, Game Boy Advance, Nintendo DS, Nintendo 3DS, PlayStation 2, PlayStation, PlayStation 3, PlayStation Portable, PC, MS-DOS, Android, iOS, Atari Jaguar, Playstation Classic",126,2005-07-15
466,Easy Obby!,Parkour,"Xbox One, PC, Android, iOS, Macintosh, Xbox Series X, Xbox Series S",318,1995-09-01
467,Hotline Miami 2: Wrong Number,Action,"PlayStation 3, Xbox 360, PlayStation Vita, PlayStation 4, Xbox One, PC, Android, Macintosh, Switch, Xbox Series X",125,2020-11-19
468,Castle Crashers,Brawler,"PlayStation 3, Xbox 360, PlayStation 4, Xbox One, PC, Switch",188,2015-03-10
469,Street Fighter V: Champion Edition,Brawler,"PlayStation 4, PC, PlayStation 4 Pro, PlayStation 5",221,2008-08-27
470,Castlevania II: Simon's Quest,2D Platformer,"Nintendo Entertainment System, Wii Virtual Console, PlayStation 4, Xbox One, PC, Famicom Disk System, Wii U Virtual Console, NES Classic Mini, Switch",177,2016-02-16
471,Granny: Chapter Two,Horror,"Android, iOS",193,1987-08-28
472,Golf It!,Sports,PC,288,2019-09-06
473,Timberman VS,Misc,"Nintendo 3DS, PlayStation 4, Xbox One, PC, New Nintendo 3DS, Macintosh, Linux, Switch, PlayStation 5, Xbox Series X, Xbox Series S, Nintendo Switch Lite",339,2017-02-17
474,Animal Crossing,Misc,"GameCube, Wii",192,2018-05-03
475,Trackmania,Racing,PC,282,2002-09-15
476,Hitman 3,Action,"PlayStation 4, Xbox One, PC, Switch, Google Stadia, PlayStation 5, Xbox Series X, Xbox Series S",293,2020-07-01
477,Octodad: Dadliest Catch,Misc,"Wii U, PlayStation Vita, PlayStation 4, Xbox One, PC, Android, iOS, Switch, PlayStation 5",208,2021-01-20
478,Pokémon FireRed/LeafGreen,RPG,"Game Boy Advance, Nintendo DS, Game Boy Player, Game Boy Interface",187,2014-01-01
479,Fallout 4,RPG,"PlayStation 4, Xbox One, PC",146,2004-01-29
480,Bugsnax,First-person shooter,"PlayStation 4, PC, Macintosh, PlayStation 5",175,2015-11-10
481,Super Mario All-Stars,2D Platformer,"Super Nintendo, Wii U, Wii, Switch",198,2020-11-12
482,Sesame Street Fighter,Brawler,PC,340,1993-07-14
